ts_open,mode,dir,entry,actual_pnl,actual_reason,LADDER_pnl,LADDER_reason,RATCHET_pnl,RATCHET_reason
2026-06-03T16:15:01Z,EMA_PULLBACK_S,SELL,13422.55,0.45,Breakeven stop hit (IG server-side),8.799999999999272,LADDER_RATCHET_STOP,6.0,FLAT_2040
2026-06-05T09:10:06Z,EMA_PULLBACK_L,BUY,13459.65,14.95,TP hit,1.8000000000010914,LADDER_REJECTION,0.0,SL
2026-06-05T13:30:03Z,EMA_PULLBACK_S,SELL,13405.95,-0.25,External/manual close detected (IG open positions),-2.099999999998545,LADDER_RATCHET_STOP,0.0,SL
2026-06-09T07:45:05Z,EMA_PULLBACK_L,BUY,13368.05,14.95,TP hit,0.2999999999992724,LADDER_ASSESS_EXPIRED,35.5,EXHAUSTION
2026-06-09T09:50:01Z,EMA_PULLBACK_L,BUY,13387.25,14.65,TP hit,-1.5999999999985448,LADDER_REJECTION,0.0,SL
2026-06-09T16:40:25Z,EMA_PULLBACK_S,SELL,13363.45,-19.55,SL hit,-8.599999999998545,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-06-10T06:05:03Z,EMA_PULLBACK_L,BUY,13393.35,-10.4,STRUCTURE_EXIT:structure_flip_down: last_close=13389.65000 < prior_5_low=13391.85000_ pnl=-10.1p,-12.0,INIT_SL,-12.0,SL
2026-06-11T09:30:06Z,EMA_PULLBACK_S,SELL,13363.85,13.25,TP hit,6.000000000001819,LADDER_RATCHET_STOP,0.0,SL
2026-06-11T13:10:02Z,EMA_PULLBACK_S,SELL,13354.75,0.55,Breakeven stop hit (IG server-side),2.099999999998545,LADDER_RATCHET_STOP,0.0,SL
2026-06-11T14:05:03Z,EMA_PULLBACK_S,SELL,13346.45,14.95,TP hit,8.799999999999272,LADDER_RATCHET_STOP,0.0,SL
2026-06-11T14:50:01Z,EMA_PULLBACK_S,SELL,13327.95,-10.6,STRUCTURE_EXIT:structure_flip_up: last_close=13337.65000 > prior_5_high=13336.95000_ pnl=-10.2p,-12.0,INIT_SL,-12.0,SL
2026-06-12T08:45:02Z,EMA_PULLBACK_L,BUY,13416.45,-10.6,STRUCTURE_EXIT:structure_flip_down: last_close=13414.95000 < prior_5_low=13415.65000_ pnl=-10.0p,-12.0,INIT_SL,-12.0,SL
2026-06-12T12:50:01Z,EMA_PULLBACK_S,SELL,13392.75,-12.5,STRUCTURE_EXIT:structure_flip_up: last_close=13403.65000 > prior_5_high=13398.85000_ pnl=-12.0p,-1.0,LADDER_REJECTION,-12.0,SL
2026-06-12T15:15:01Z,EMA_PULLBACK_L,BUY,13414.55,8.75,External/manual close detected (IG open positions),-12.0,INIT_SL,-12.0,SL
2026-06-17T14:05:02Z,EMA_PULLBACK_S,SELL,13401.8,10.75,External/manual close detected (IG open positions),-1.75,LADDER_ASSESS_EXPIRED,0.0,SL
2026-06-17T15:10:02Z,EMA_PULLBACK_S,SELL,13388.8,-10.9,STRUCTURE_EXIT:structure_flip_up: last_close=13397.95000 > prior_5_high=13397.65000_ pnl=-10.5p,-12.0,INIT_SL,-12.0,SL
2026-06-18T07:25:02Z,EMA_PULLBACK_S,SELL,13295.3,14.95,TP hit,50.45000000000073,LADDER_ASSESS_EXPIRED,62.849999999998545,EXHAUSTION
